,Compound.Name,F1,F2,F3,F4,F5,F6,F7,F8,,best_corr,cluster,BlobID,Library.Name,Library.Match.Factor,Library.Reverse.Match.Factor,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Benzothiazole,Thiol,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,Identifiable,tic
36,20200803_0949_blob_704_,0.493479546,-0.568442872,0.540301519,-0.362871875,-0.20637998,-0.095238281,-0.383907705,-0.29347929,0.540301519,F3,NA,704,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2093.846154,NA,"3-Hydroxy-2,5,5,8a-tetramethyl-3,4,4a,5,6,7,8,8a-octahydronaphthalene-1-carboxylic acid, 2-trimethylsilylethyl ester",597,605,NA,C20H36O3Si,352,NA,NA,NA,NA,NA,1
37,20200803_0949_blob_708_,-0.281453757,0.383541668,-0.306474257,-0.148071192,0.873442874,-0.287848048,0.636911289,0.399015598,0.873442874,F5,NA,708,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2747.572816,NA,"Dodecanoic acid, 3-hydroxy-",695,737,NA,C12H24O3,216,NA,NA,NA,NA,NA,1
38,20200803_0949_blob_709_oil,0.464360474,-0.412516468,-0.204868244,-0.688931254,0.144130433,-0.288517359,-0.039952615,0.236945425,0.464360474,F1,NA,709,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2463.636364,NA,"Ethanol, 2-(octadecyloxy)-",694,729,NA,C20H42O2,314,NA,NA,NA,NA,NA,1
39,20200803_0949_blob_715_oil,0.844074633,-0.915152769,0.050217167,-0.674472539,-0.374083903,-0.047728598,-0.670123278,-0.107507771,0.844074633,F1,NA,715,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2501.818182,NA,"Ethanol, 2-(octadecyloxy)-",759,772,NA,C20H42O2,314,NA,NA,NA,NA,NA,1
40,20200803_0949_blob_724_,0.439037458,-0.495738785,0.261756047,-0.541872401,0.230027748,-0.29949349,-0.127555782,-0.206452748,0.439037458,F1,NA,724,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2180,NA,"4,8,13-Cyclotetradecatriene-1,3-diol, 1,5,9-trimethyl-12-(1-methylethyl)-",799,814,NA,C20H34O2,306,NA,NA,NA,NA,NA,1
41,20200803_0949_blob_734_oil,0.753577949,-0.829364263,0.201808979,-0.563953878,-0.350006675,-0.154211212,-0.595424089,-0.193802878,0.753577949,F1,NA,734,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2514.545455,NA,"Tetrapentacontane, 1,54-dibromo-",767,787,NA,C54H108Br2,914,NA,NA,NA,NA,NA,1
42,20200803_0949_blob_741_oil,0.611758586,-0.638919837,-0.018954079,-0.27821114,-0.439514424,-0.006677187,-0.564323581,-0.062102006,0.611758586,F1,NA,741,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2521.818182,NA,17-Pentatriacontene,760,761,NA,C35H70,490,NA,NA,NA,NA,NA,1
43,20200803_0949_blob_745_,0.581163308,-0.684035349,0.413200603,-0.094455639,-0.614152592,0.22380977,-0.789936344,-0.426254889,0.581163308,F1,NA,745,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2012.307692,NA,"As-Indacen-1(2H)-one, 3,6,7,8-tetrahydro-3,3,6,6-tetramethyl-",732,739,NA,C16H20O,228,NA,NA,NA,NA,NA,1
44,20200803_0949_blob_746_,0.284402482,-0.373300019,0.574306696,-0.04010188,-0.353295536,0.126196895,-0.446771754,-0.573758668,0.574306696,F3,NA,746,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1830.985915,NA,"Eicosanoic acid, 2,3-bis(acetyloxy)propyl ester",642,776,NA,C27H50O6,470,NA,NA,NA,NA,NA,1
45,20200803_0949_blob_750_,-0.401639737,0.394641065,0.008722464,0.66763794,-0.106901366,0.084555216,0.123360147,-0.0597178,0.66763794,F4,NA,750,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2250.420168,NA,"13-Octadecenoic acid, (E)-, TMS derivative",793,798,2228,C21H42O2Si,354,NA,NA,NA,NA,NA,1
46,20200803_0949_blob_760_,-0.249927208,0.239714578,0.340917254,0.543980549,-0.148782556,0.018394594,0.021804585,-0.218930302,0.543980549,F4,NA,760,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1887.323944,NA,Mono-TMS of (pyridoxine-H2O),713,763,NA,C11H17NO2Si,223,NA,NA,NA,NA,NA,1
47,20200803_0949_blob_766_,0.292583498,-0.411613021,0.556079845,0.276766059,-0.556812494,0.129424862,-0.632734283,-0.538646142,0.556079845,F3,NA,766,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2044.615385,NA,2-o-Tolylbenzothiazole,758,804,NA,C14H11NS,225,TRUE,NA,NA,NA,NA,1
48,20200803_0949_blob_767_oil,0.564161468,-0.457596517,-0.10179792,-0.66071469,0.035251285,-0.02496689,-0.125550297,0.255429782,0.564161468,F1,NA,767,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2587.272727,NA,"Dodecane, 1-cyclopentyl-4-(3-cyclopentylpropyl)-",743,753,NA,C25H48,348,NA,NA,NA,NA,NA,1
49,20200803_0949_blob_777_,0.096569535,-0.173664808,0.505822247,0.54017091,-0.603948987,0.29867092,-0.572403287,-0.487258131,0.54017091,F4,NA,777,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1912.676056,NA,"3-Methyl-6,7-benzoisoquinoline",665,751,NA,C14H11N,193,NA,NA,NA,NA,NA,1
50,20200803_0949_blob_779_oil,0.270496059,-0.359163404,-0.055975617,-0.070875692,-0.2529394,-0.201364207,-0.385537863,-0.214564882,0.270496059,F1,NA,779,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2391.596639,NA,"Dihydrophytol, TMS derivative",740,872,NA,C23H50OSi,370,NA,NA,NA,NA,NA,1
51,20200803_0949_blob_783_,0.651740753,-0.731776699,0.391557367,-0.50388879,-0.275449474,-0.119445102,-0.516347039,-0.261560151,0.651740753,F1,NA,783,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2287.394958,NA,"1-Hydroxy-2-methylanthraquinone, TMS derivative",648,908,NA,C18H18O3Si,310,NA,NA,NA,NA,NA,1
52,20200803_0949_blob_786_,-0.0408246,-0.17172771,0.5987628,0.243678476,-0.358348096,0.139642314,-0.362108266,-0.719436705,0.5987628,F3,NA,786,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1901.408451,NA,trans-2-Hexadecenoic acid,609,658,NA,C16H30O2,254,NA,NA,NA,NA,NA,1
53,20200803_0949_blob_788_oil,0.587470972,-0.727514818,0.234286133,-0.482343587,-0.305162596,-0.190143756,-0.498380697,-0.288192626,0.587470972,F1,NA,788,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2627.184466,NA,tert-Hexadecanethiol,707,736,NA,C16H34S,258,NA,TRUE,NA,NA,NA,1
54,20200803_0949_blob_793_,0.432844829,-0.618146888,0.1449746,-0.467558699,-0.226211722,-0.306825662,-0.377776138,-0.26846116,0.432844829,F1,NA,793,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2080,NA,"2-[5-(2,2-Dimethyl-6-methylene-cyclohexyl)-3-methyl-pent-2-enyl]-[1,4]benzoquinone",713,764,NA,C21H28O2,312,NA,NA,NA,NA,NA,1
