Compound.Name,F1,F2,F3,F4,F5,F6,F7,F8,best_corr,cluster_assigned,cluster_assigned_btz
20200803_1535_blob_1092_,-0.657834685,0.803896774,-0.38654073,0.476311131,0.104803863,0.904202777,-0.198590254,0.490163997,F6,6,6
20200803_1535_blob_1093_,-0.571283841,0.537917274,-0.164396413,0.485245873,0.226514432,0.620387825,-0.205231213,-0.060985461,F6,6,6
20200803_1535_blob_1094_,-0.880840833,0.931505835,-0.140471989,0.667327527,0.49954838,0.671234868,-0.038813361,0.051094893,F2,2,2
20200803_1535_blob_1095_,-0.479023828,0.616421294,-0.467750815,0.545584154,-0.178179561,0.962147506,-0.257082495,0.524062534,F6,6,6
20200803_1535_blob_1096_,-0.685124162,0.838214191,-0.227414047,0.670519134,0.30262059,0.759344234,0.084379198,0.271480686,F2,2,2
20200803_1535_blob_1097_,-0.838757094,0.900547255,0.072481664,0.43335307,0.796658115,0.463618537,0.030348899,-0.094943414,F2,2,2
20200803_1535_blob_1099_,-0.476037986,0.637616817,-0.226318381,0.61158372,0.047066119,0.640232623,0.016175981,0.337774754,F6,6,6
20200803_1535_blob_11_,-0.324107951,0.408099127,-0.488684157,0.45999101,-0.294055279,0.920396591,-0.345019715,0.416716756,F6,6,6
20200803_1535_blob_1104_,-0.676956015,0.720913634,0.238881808,0.696291363,0.414469305,0.565461111,-0.049753921,-0.01430505,F2,2,2
20200803_1535_blob_1105_,-0.763782637,0.884053931,-0.306818985,0.438386011,0.296625994,0.778079122,-0.141026759,0.389412489,F2,2,2
20200803_1535_blob_1110_,-0.615544369,0.757437376,-0.184008025,0.185525152,0.441704885,0.481754722,-0.015452144,0.28630948,F2,2,2
20200803_1535_blob_1111_,-0.752721893,0.845203827,0.147671526,0.359268873,0.789344016,0.286615181,0.172787519,-0.041363592,F2,2,2
20200803_1535_blob_1112_,-0.726713422,0.663044724,0.365616758,0.729062766,0.557103036,0.346550663,-0.059220826,-0.368346921,F4,4,4
20200803_1535_blob_1118_,-0.289497497,0.30712077,0.61338413,0.276595951,0.431570058,-0.006835178,0.021365962,-0.220254029,F3,3,3
