Compound.Name,F1,F2,F3,F4,F5,F6,F7,F8,best_corr,cluster_assigned
20200803_1535_blob_1088_,-0.804572624,0.910574146,0.03715673,0.730668631,0.19267006,0.109911642,0.644915287,0.140914362,F2,2
20200803_1535_blob_1091_,-0.837136823,0.845843914,0.223392268,0.784625108,0.057821745,0.12218583,0.476205296,-0.12176861,F2,2
20200803_1535_blob_1094_,-0.871168957,0.934274922,0.089181469,0.564183864,0.478813748,-0.038813361,0.787297746,0.051094893,F2,2
20200803_1535_blob_1096_,-0.671827164,0.840118206,0.021963237,0.368704472,0.59526679,0.084379198,0.821738804,0.271480686,F2,2
20200803_1535_blob_1097_,-0.857529059,0.886287757,0.200243867,0.830427958,0.29852253,0.030348899,0.593832181,-0.094943414,F2,2
20200803_1535_blob_1104_,-0.647963041,0.713059494,0.421805183,0.454022114,0.407722043,-0.049753921,0.667875437,-0.01430505,F2,2
20200803_1535_blob_1105_,-0.745353558,0.889758169,-0.168107389,0.355752859,0.617795934,-0.141026759,0.875769072,0.389412489,F2,2
20200803_1535_blob_1110_,-0.620110487,0.75752235,-0.174465098,0.46856124,0.297971343,-0.015452144,0.640216596,0.28630948,F2,2
20200803_1535_blob_1111_,-0.77329172,0.838859838,0.214842095,0.826393246,0.052168384,0.172787519,0.478852933,-0.041363592,F2,2
20200803_1535_blob_1112_,-0.714037485,0.65337819,0.574441035,0.598310969,0.195422204,-0.059220826,0.46230713,-0.368346921,F2,2
20200803_1535_blob_1123_,-0.823136322,0.815897579,0.298734759,0.713524605,0.190975968,0.075568021,0.507509593,-0.205263489,F2,2
20200803_1535_blob_1125_,-0.822480345,0.944313727,-0.088101455,0.422162713,0.623879748,-0.116009964,0.894150465,0.267922722,F2,2
20200803_1535_blob_1130_,-0.669361761,0.821723427,0.023010275,0.421127055,0.312539845,0.05809995,0.698020873,0.284707876,F2,2
20200803_1535_blob_1131_,-0.793747252,0.877538535,0.011522617,0.55875294,0.387799174,-0.036690066,0.711791412,0.225006757,F2,2
20200803_1535_blob_1134_,-0.778581581,0.933170934,-0.11770912,0.488418741,0.543027298,-0.060112343,0.859881232,0.351546942,F2,2
20200803_1535_blob_1140_,-0.815715064,0.92736828,-0.054355359,0.450536513,0.60136639,-0.144105467,0.887904411,0.245081934,F2,2
20200803_1535_blob_1141_,-0.723008817,0.812138139,0.117527227,0.466808332,0.598062501,-0.020700457,0.760444298,0.08631228,F2,2
20200803_1535_blob_1149_,-0.884473177,0.947543731,0.050460782,0.722036512,0.344234789,0.00766754,0.699216188,0.042282645,F2,2
20200803_1535_blob_1153_,-0.838748184,0.861716804,0.137999068,0.742381154,0.044432229,0.10152642,0.50143047,-0.044950035,F2,2
20200803_1535_blob_1154_,-0.694956116,0.777671364,-0.144667856,0.497989832,0.178923852,0.020976542,0.607951822,0.190577667,F2,2
20200803_1535_blob_1160_,-0.702928666,0.792548896,-0.112272499,0.498072267,0.170742338,0.017005868,0.600961912,0.234449541,F2,2
20200803_1535_blob_1162_,-0.806754648,0.830570764,0.016317004,0.816179366,0.061080877,0.071539487,0.47941014,-0.011596051,F2,2
20200803_1535_blob_1163_,-0.729032588,0.832220726,0.099282616,0.437644579,0.565754291,-0.030532415,0.767608878,0.115452615,F2,2
