Compound.Name,Model_Properties
20200803_1535_blob_707_oil,TRUE
20200803_1535_blob_1055_oil,TRUE
20200803_1535_blob_949_oil,TRUE
20200803_1535_blob_775_oil,TRUE
20200803_1535_blob_726_oil,TRUE
20200803_1535_blob_1019_oil,TRUE
20200803_1535_blob_905_,TRUE
20200803_1535_blob_1206_oil,TRUE
20200803_1535_blob_1252_oil,TRUE
20200803_1535_blob_885_oil,TRUE
20200803_1535_blob_1145_oil,TRUE
20200803_0949_blob_1227_,TRUE
20200803_1535_blob_1284_,TRUE
20200803_1535_blob_722_,TRUE
20200803_1535_blob_1323_oil,TRUE
20200803_1535_blob_1364_oil,TRUE
20200803_0949_blob_1172_,TRUE
20200803_0949_blob_1225_,TRUE
20200803_0949_blob_1063_,TRUE
20200803_1535_blob_1343_,TRUE
20200803_1535_blob_1624_,TRUE
20200803_0949_blob_957_,TRUE
20200803_0949_blob_1238_,TRUE
20200803_0949_blob_649_,TRUE
20200803_0949_blob_1340_,TRUE
20200803_0949_blob_1465_,TRUE
20200803_0949_blob_1280_,TRUE
20200803_1535_blob_792_,TRUE
20200803_1535_blob_1193_,TRUE
20200803_1535_blob_1003_,TRUE
20200803_1535_blob_1095_,TRUE
20200803_1535_blob_679_,TRUE
20200803_1535_blob_902_,TRUE
20200803_1535_blob_143_,TRUE
20200803_0949_blob_707_,TRUE
20200803_1535_blob_579_oil,TRUE
20200803_1535_blob_623_oil,TRUE
20200803_1535_blob_638_oil,TRUE
20200803_1535_blob_642_oil,TRUE
20200803_1535_blob_640_oil,TRUE
20200803_1535_blob_650_oil,TRUE
20200803_1535_blob_649_oil,TRUE
20200803_1535_blob_658_oil,TRUE
20200803_1535_blob_655_oil,TRUE
20200803_1535_blob_701_oil,TRUE
20200803_1535_blob_669_oil,TRUE
20200803_1535_blob_672_oil,TRUE
20200803_1535_blob_803_,TRUE
20200803_1535_blob_880_,TRUE
20200803_1535_blob_933_,TRUE
20200803_1535_blob_893_,TRUE
20200803_1535_blob_1018_,TRUE
20200803_1535_blob_665_oil,TRUE
20200803_1535_blob_877_,TRUE
20200803_1535_blob_932_,TRUE
20200803_0949_blob_896_,TRUE
20200803_1535_blob_900_,TRUE
20200803_1535_blob_1202_,TRUE
20200803_1535_blob_686_,TRUE
20200803_1535_blob_968_,TRUE
20200803_0949_blob_1009_,TRUE
20200803_1535_blob_984_,TRUE
20200803_1535_blob_1222_,TRUE
20200803_1535_blob_883_,TRUE
20200803_0949_blob_1890_,TRUE
20200803_1535_blob_812_,TRUE
20200803_1535_blob_948_,TRUE
20200803_1535_blob_766_,TRUE
20200803_0949_blob_1047_,TRUE
20200803_1535_blob_1196_,TRUE
20200803_0949_blob_1385_,TRUE
20200803_1535_blob_1172_,TRUE
20200803_1535_blob_205_,TRUE
20200803_0949_blob_831_,TRUE
20200803_1535_blob_1023_,TRUE
20200803_1535_blob_874_,TRUE
20200803_0949_blob_777_,TRUE
20200803_0949_blob_786_,TRUE
20200803_0949_blob_734_oil,TRUE
20200803_0949_blob_741_oil,TRUE
20200803_0949_blob_715_oil,TRUE
20200803_0949_blob_767_oil,TRUE
20200803_0949_blob_779_oil,TRUE
